name,url,group,strategy,strategy_tier,redirected,redirect_target,timestamp
Svenska Dagbladet,https://www.svd.se,Schibsted,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:30:04.247325
Omni,https://www.omni.se,Schibsted,Tier 5: True Nuclear,Tier 5,True,omni.se,2026-02-11T16:30:06.491211
Omni Ekonomi,https://omniekonomi.se,Schibsted,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:30:11.831483
Klart.se,https://www.klart.se,Schibsted,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:30:12.437743
Tv.nu,https://www.tv.nu,Schibsted,Tier 3: Surgical (Secure),Tier 3,False,,2026-02-11T16:30:17.875019
Norrköpings Tidningar,https://nt.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,True,www.nt.se,2026-02-11T16:30:18.555230
Upsala Nya Tidning,https://unt.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,True,www.unt.se,2026-02-11T16:30:19.232167
Östgöta Correspondenten,https://corren.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,True,www.corren.se,2026-02-11T16:30:19.886867
Norrbottens-Kuriren,https://kuriren.nu,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,True,www.kuriren.nu,2026-02-11T16:30:20.625405
Norrländska Socialdemokraten,https://nsd.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,True,www.nsd.se,2026-02-11T16:30:21.300346
Folkbladet,https://folkbladet.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,True,www.folkbladet.se,2026-02-11T16:30:22.045333
Motala Vadstena Tidning,https://mvt.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,True,www.mvt.se,2026-02-11T16:30:22.795017
Västerviks-Tidningen,https://vt.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,True,www.vt.se,2026-02-11T16:30:23.435121
